date,st,mag,inj
1/3/1950,IL,3,3
1/3/1950,MO,3,3
1/3/1950,OH,1,1
1/13/1950,AR,3,1
1/25/1950,IL,2,0
1/25/1950,MO,2,5
1/26/1950,TX,2,2
2/11/1950,TX,2,0
2/11/1950,TX,2,5
2/11/1950,TX,2,6
2/11/1950,TX,3,12
2/12/1950,AR,2,0
2/12/1950,AR,2,0
2/12/1950,LA,1,0
2/12/1950,LA,2,10
2/12/1950,LA,3,25
2/12/1950,LA,4,77
2/12/1950,MS,1,0
2/12/1950,MS,2,2
2/12/1950,TX,1,0
2/12/1950,TX,1,32
2/12/1950,TX,2,0
2/12/1950,TX,2,8
2/12/1950,TX,3,15
2/13/1950,TN,1,8
2/13/1950,TN,2,1
2/27/1950,OK,2,0
3/1/1950,MS,1,0
3/16/1950,FL,2,0
3/19/1950,LA,0,0
3/19/1950,LA,1,2
3/19/1950,LA,2,0
3/26/1950,AR,2,3
3/26/1950,AR,2,7
3/26/1950,AR,2,2
3/26/1950,AR,3,1
3/26/1950,AR,3,20
3/27/1950,IL,2,0
3/27/1950,LA,1,2
3/27/1950,LA,1,0
3/27/1950,MS,1,2
3/27/1950,MS,2,0
3/27/1950,MS,2,7
3/27/1950,MS,2,6
3/27/1950,MS,2,0
3/27/1950,MS,2,2
3/27/1950,OK,2,0
3/27/1950,TN,1,0
4/2/1950,AR,1,0
4/2/1950,AR,3,8
4/2/1950,OK,2,0
4/3/1950,OK,1,0
4/18/1950,AL,2,0
4/18/1950,AL,3,15
4/24/1950,LA,1,0
4/27/1950,SC,1,0
4/28/1950,KS,1,0
4/28/1950,OK,2,0
4/28/1950,OK,3,1
4/28/1950,OK,4,32
4/28/1950,TX,4,5
4/29/1950,MS,2,0
4/29/1950,TX,1,0
5/1/1950,LA,0,0
5/1/1950,LA,1,0
5/1/1950,LA,1,0
5/1/1950,LA,1,2
5/1/1950,LA,2,7
5/1/1950,MS,1,0
5/1/1950,MS,1,0
5/2/1950,LA,1,1
5/2/1950,LA,2,5
5/4/1950,IA,1,0
5/4/1950,KS,1,0
5/4/1950,KS,4,1
5/4/1950,OK,1,0
5/4/1950,OK,2,0
5/4/1950,OK,2,0
5/4/1950,TX,2,13
5/5/1950,KS,3,12
5/7/1950,OK,1,0
5/7/1950,OK,1,0
5/7/1950,OK,2,3
5/8/1950,FL,1,0
5/8/1950,IA,2,0
5/8/1950,KS,1,1
5/8/1950,KS,1,0
5/8/1950,KS,2,0
5/8/1950,KS,2,1
5/8/1950,KS,2,2
5/8/1950,NE,2,1
5/8/1950,SD,1,0
5/9/1950,KS,1,0
5/9/1950,OK,1,0
5/10/1950,WY,2,0
5/11/1950,OK,1,0
5/12/1950,NC,0,0
5/12/1950,NC,1,0
5/12/1950,NC,1,0
5/13/1950,LA,1,0
5/14/1950,NC,1,0
5/14/1950,NC,2,5
5/14/1950,TX,1,0
5/15/1950,FL,1,0
5/15/1950,FL,2,0
5/15/1950,TX,2,0
5/16/1950,KS,2,0
5/16/1950,OK,1,1
5/18/1950,KS,0,0
5/18/1950,KS,3,2
5/18/1950,NE,1,0
5/19/1950,KS,0,0
5/22/1950,OK,1,0
5/23/1950,KS,0,0
5/24/1950,KS,1,0
5/24/1950,KS,2,1
5/24/1950,OK,2,2
5/25/1950,TX,1,0
5/29/1950,LA,1,13
5/29/1950,LA,1,0
5/29/1950,OK,1,0
5/29/1950,TX,1,0
5/30/1950,GA,1,0
5/31/1950,NC,1,0
6/3/1950,MS,3,1
6/4/1950,GA,0,0
6/4/1950,GA,1,1
6/5/1950,TX,1,2
6/5/1950,TX,3,6
6/7/1950,GA,1,0
6/7/1950,WY,1,0
6/8/1950,KS,4,5
6/9/1950,MO,1,0
6/9/1950,OK,1,0
6/13/1950,IL,1,0
6/13/1950,ND,3,0
6/13/1950,NE,2,101
6/14/1950,ND,3,0
6/14/1950,WY,1,0
6/15/1950,IA,3,5
6/15/1950,MN,2,4
6/15/1950,MO,1,0
6/16/1950,KS,1,0
6/19/1950,TX,0,0
6/22/1950,NE,0,0
6/25/1950,KS,0,0
6/25/1950,KS,0,0
6/25/1950,WI,1,0
6/25/1950,WI,2,0
6/25/1950,WI,2,0
6/25/1950,WI,3,0
6/25/1950,WI,4,12
7/1/1950,IA,2,0
7/1/1950,KS,1,1
7/1/1950,KS,2,0
7/2/1950,KS,2,0
7/3/1950,IN,0,0
7/5/1950,PA,2,2
7/5/1950,PA,2,0
7/8/1950,KS,1,0
7/11/1950,NM,1,0
7/12/1950,CT,2,0
7/14/1950,CT,2,3
7/15/1950,NE,4,33
7/16/1950,IL,1,0
7/18/1950,KS,1,0
7/19/1950,IN,1,0
7/19/1950,IN,2,0
7/19/1950,MO,1,0
7/19/1950,OH,2,0
7/19/1950,OH,3,30
7/22/1950,CO,0,0
7/24/1950,PA,0,0
7/26/1950,NC,1,0
7/27/1950,NC,1,0
8/2/1950,NM,1,0
8/5/1950,CO,2,1
8/6/1950,KS,1,0
8/6/1950,KS,2,0
8/6/1950,KS,2,0
8/8/1950,MO,1,0
8/9/1950,WV,1,0
8/11/1950,MD,1,0
8/24/1950,AR,2,7
8/28/1950,KS,1,0
8/29/1950,PA,1,0
8/30/1950,FL,1,0
8/31/1950,FL,0,0
9/15/1950,OK,2,6
9/16/1950,OK,0,0
9/21/1950,NE,1,0
10/1/1950,OK,1,0
10/9/1950,NC,3,3
11/4/1950,PA,3,1
11/20/1950,KY,1,0
11/20/1950,KY,2,0
11/20/1950,MS,1,3
12/2/1950,AR,3,0
12/2/1950,IL,1,0
12/2/1950,IL,2,3
12/2/1950,IL,3,25
1/6/1951,LA,3,11
1/11/1951,CA,2,0
2/1/1951,VA,1,0
2/6/1951,LA,1,0
2/6/1951,LA,1,0
2/19/1951,OK,0,0
2/19/1951,OK,2,5
2/20/1951,AL,2,2
2/20/1951,AR,2,3
2/20/1951,KY,2,0
2/20/1951,MS,1,0
2/20/1951,MS,3,1
3/2/1951,KS,0,0
3/2/1951,KS,3,0
3/12/1951,FL,2,0
3/28/1951,TX,1,0
3/29/1951,IN,2,2
3/30/1951,PA,1,0
4/5/1951,OK,2,0
4/5/1951,OK,2,2
4/5/1951,OK,2,2
4/20/1951,KS,0,0
4/20/1951,TX,2,0
4/21/1951,LA,0,2
4/21/1951,LA,0,1
4/21/1951,MS,1,0
4/21/1951,MS,3,16
4/24/1951,OK,0,0
4/24/1951,OK,1,0
4/24/1951,OK,1,0
4/26/1951,KS,0,0
4/26/1951,KS,0,0
4/26/1951,KS,1,0
4/26/1951,KS,1,0
4/26/1951,OK,1,0
4/27/1951,OK,1,2
4/28/1951,OH,2,5
4/29/1951,NJ,1,2
4/30/1951,KS,0,0
4/30/1951,KS,3,0
4/30/1951,NE,1,0
4/30/1951,OK,1,0
4/30/1951,OK,2,0
4/30/1951,OK,3,0
5/2/1951,KS,1,0
5/2/1951,KS,1,0
5/3/1951,MI,2,0
5/8/1951,KS,1,0
5/9/1951,KS,0,0
5/9/1951,KS,1,0
5/9/1951,OK,1,0
5/9/1951,OK,2,1
5/9/1951,TX,2,0
5/11/1951,PA,2,1
5/11/1951,VA,1,0
5/13/1951,KS,1,0
5/13/1951,NE,0,0
5/14/1951,KS,2,0
5/14/1951,KS,2,0
5/14/1951,KS,3,4
5/14/1951,OK,2,0
5/14/1951,OK,2,0
5/15/1951,TX,1,0
5/16/1951,OK,0,0
5/17/1951,CO,0,0
5/18/1951,OK,1,0
5/18/1951,OK,1,0
5/18/1951,OK,1,0
5/18/1951,TX,4,100
5/19/1951,OK,0,0
5/19/1951,OK,1,0
5/19/1951,OK,2,0
5/20/1951,CO,0,0
5/20/1951,CO,0,0
5/20/1951,CO,1,0
5/20/1951,KS,2,0
5/20/1951,KS,3,0
5/20/1951,KS,3,0
5/21/1951,KS,1,0
5/21/1951,KS,2,0
5/23/1951,GA,1,0
5/23/1951,GA,2,0
5/24/1951,TX,1,0
5/25/1951,KS,1,0
5/25/1951,KS,2,0
5/25/1951,KS,3,0
5/25/1951,MO,1,0
5/26/1951,FL,1,0
5/26/1951,FL,1,0
5/30/1951,KS,0,0
5/30/1951,KS,0,0
5/30/1951,KS,0,0
5/30/1951,KS,0,0
5/30/1951,KS,0,0
5/30/1951,KS,1,0
5/30/1951,KS,1,0
5/30/1951,KS,1,0
5/30/1951,NE,1,0
5/30/1951,NE,2,7
5/31/1951,KS,2,0
5/31/1951,TX,1,0
6/1/1951,IA,3,7
6/1/1951,KS,1,0
6/1/1951,MI,1,1
6/5/1951,NM,0,0
6/5/1951,OK,2,0
6/6/1951,CO,2,1
6/6/1951,KS,0,0
